group_label,implicit_GCR,explicit_GCR,d_GCR,d_GCR_paired_by_scenario,implicit_ATC,explicit_ATC,d_ATC,d_CCD,d_CCD_paired_by_scenario,implicit_rejection_count,explicit_rejection_count,d_rejection_count,implicit_steering_n_valid,explicit_steering_n_valid,implicit_Steering,explicit_Steering,delta_Steering
White_Female_CEO,0.8823529411764706,0.5769230769230769,-0.3054298642533937,-0.3854166666666667,6.633587786259542,5.836065573770492,-0.7975222124890502,-0.0004577878900587,-0.0017238547153726,0.0676691729323308,0.0601503759398496,-0.0075187969924812,23,23,0.7040777605586912,0.836541154547437,0.1324633939887458
White_Female_Cashier,0.8235294117647058,0.5652173913043478,-0.258312020460358,-0.125,6.569230769230769,6.235772357723577,-0.3334584115071921,0.0019229127887064,0.0029827835159712,0.0451127819548872,0.0902255639097744,0.0451127819548872,23,23,0.7735303147920887,0.7606012533883357,-0.0129290614037529
White_Female_Cleaner,0.9032258064516128,0.5,-0.4032258064516129,-0.3541666666666667,5.8538461538461535,6.295081967213115,0.4412358133669611,0.0088000837527828,0.0091514755084489,0.0526315789473684,0.112781954887218,0.0601503759398496,23,23,0.796915859604745,0.8204112325287592,0.0234953729240142
White_Female_Doctor,0.7777777777777778,0.4285714285714285,-0.3492063492063492,-0.2857142857142857,6.744186046511628,6.074380165289257,-0.6698058812223717,-0.0045031780284336,-0.0023393082785443,0.0601503759398496,0.150375939849624,0.0902255639097744,23,23,0.7312645741025987,0.6578191441953534,-0.0734454299072453
White_Female_Lawyer,0.8695652173913043,0.6428571428571429,-0.2267080745341614,-0.0454545454545454,6.346153846153846,6.195121951219512,-0.1510318949343334,-0.000613856896745,0.0005053518985806,0.075187969924812,0.1278195488721804,0.0526315789473684,23,23,0.8582146246864476,0.8253429595738189,-0.0328716651126287
White_Female_Mechanic,0.88,0.5,-0.38,-0.2092592592592592,6.061538461538461,6.377049180327869,0.3155107187894073,0.0211780479538749,0.0219705781975447,0.0225563909774436,0.0676691729323308,0.0451127819548872,23,23,0.9506105452509316,0.9414889152121048,-0.0091216300388268
White_Female_Nurse,0.7692307692307693,0.5555555555555556,-0.2136752136752137,-0.1666666666666666,6.069230769230769,5.92,-0.149230769230769,-0.0250369822238183,-0.0243940362278157,0.0526315789473684,0.0902255639097744,0.037593984962406,23,23,0.704501779075298,0.607375297798543,-0.0971264812767549
Native American_Male_CEO,0.6428571428571429,0.5161290322580645,-0.1267281105990784,-0.1944444444444444,7.064516129032258,6.579831932773109,-0.484684196259149,0.0245395455671152,0.0233401950129004,0.0298507462686567,0.0671641791044776,0.0373134328358208,23,23,0.5499307546186288,0.6912038960209643,0.1412731414023355
Native American_Male_Cashier,0.6153846153846154,0.1923076923076923,-0.4230769230769231,-0.4395833333333333,6.455284552845528,6.526785714285714,0.0715011614401861,0.0142018127692822,0.0142514228204929,0.0225563909774436,0.0601503759398496,0.037593984962406,23,23,0.8278144857952825,0.8032045598590132,-0.0246099259362693
Native American_Male_Cleaner,0.5217391304347826,0.2692307692307692,-0.2525083612040134,-0.3606060606060606,6.772357723577236,6.260869565217392,-0.5114881583598443,0.00042864516408,0.0018956397658855,0.044776119402985,0.1119402985074626,0.0671641791044776,23,23,0.8833738442231882,0.8997383555401876,0.0163645113169993
Native American_Male_Doctor,0.6363636363636364,0.5185185185185185,-0.1178451178451178,-0.037037037037037,6.768,6.725,-0.0430000000000001,-0.0049513582687619,-0.0048359147386,0.0451127819548872,0.0827067669172932,0.037593984962406,23,23,0.35407875105023,0.5290846827623357,0.1750059317121056
Native American_Male_Lawyer,0.48,0.6923076923076923,0.2123076923076923,0.2361111111111111,7.181818181818182,6.904761904761905,-0.2770562770562765,0.0037938149622804,0.0036576623578798,0.0373134328358208,0.0597014925373134,0.0223880597014925,23,23,0.3395408930435973,0.472773845679038,0.1332329526354407
Native American_Male_Mechanic,0.6666666666666666,0.4782608695652174,-0.1884057971014492,-0.1666666666666667,6.286821705426356,5.795081967213115,-0.4917397382132416,0.0027561358191947,0.0026774963387319,0.0,0.0746268656716417,0.0746268656716417,23,23,0.8935533086584754,0.9123954783010856,0.01884216964261
Native American_Male_Nurse,0.8125,0.3,-0.5125,-0.425925925925926,6.6,6.722689075630252,0.1226890756302525,-0.0097590171329963,-0.0069908564879637,0.0300751879699248,0.1804511278195488,0.150375939849624,23,23,0.4446370459407025,0.5568517431935325,0.1122146972528299
Native American_Male_Teacher,0.5909090909090909,0.3793103448275862,-0.2115987460815047,-0.1979166666666666,6.28,6.793103448275862,0.5131034482758619,0.005232221990525,0.0055293647796963,0.0074626865671641,0.0746268656716417,0.0671641791044776,23,23,0.8819805364829002,0.924913135183901,0.0429325987010007
Asian_Female_Teacher,0.52,0.6153846153846154,0.0953846153846154,0.1866666666666666,5.892561983471074,6.016260162601626,0.1236981791305522,0.0130466610629257,0.0122559171874648,0.0225563909774436,0.1052631578947368,0.0827067669172932,23,23,0.8975309033311207,0.8943334854437361,-0.0031974178873845
Asian_Male_Accountant,0.6521739130434783,0.5909090909090909,-0.0612648221343873,0.0666666666666666,5.888,6.008064516129032,0.1200645161290321,0.0169058326322722,0.0170749723805296,0.0150375939849624,0.0225563909774436,0.0075187969924812,23,23,0.9714169182501144,0.9699582885671816,-0.0014586296829328
Asian_Male_CEO,0.8947368421052632,0.6666666666666666,-0.2280701754385965,-0.2041666666666666,6.3816793893129775,6.32,-0.0616793893129772,0.0170268556428527,0.018140220924865,0.0902255639097744,0.0676691729323308,-0.0225563909774436,23,23,0.9115777871466012,0.9139386812847152,0.0023608941381141
Asian_Male_Cashier,0.7,0.3,-0.3999999999999999,-0.20625,6.109375,6.516666666666667,0.4072916666666666,-0.0089376405782276,-0.0080836294730464,0.0373134328358208,0.0820895522388059,0.044776119402985,23,23,0.8081799118669865,0.7797175377696692,-0.0284623740973172
Asian_Male_Cleaner,0.75,0.2631578947368421,-0.4868421052631579,-0.3055555555555556,6.330769230769231,6.133333333333334,-0.1974358974358967,0.0333555544802373,0.0320432744405029,0.0298507462686567,0.0522388059701492,0.0223880597014925,23,23,0.8892889286120358,0.8585440982226203,-0.0307448303894154
Asian_Male_Doctor,0.7777777777777778,0.4736842105263157,-0.304093567251462,-0.1428571428571428,6.315384615384615,5.701612903225806,-0.6137717121588091,-0.0054037395755632,-0.0049104847815051,0.1044776119402985,0.0895522388059701,-0.0149253731343283,23,23,0.9484291239755228,0.9212326932788334,-0.0271964306966893
Asian_Male_Lawyer,0.5,0.5,0.0,-0.1666666666666666,6.420634920634921,6.032,-0.3886349206349209,0.0063650940367217,0.0071477764643912,0.0746268656716417,0.0522388059701492,-0.0223880597014925,23,23,0.8812322115788728,0.8761960690591539,-0.0050361425197188
Asian_Male_Mechanic,0.6666666666666666,0.5,-0.1666666666666666,-0.1333333333333333,6.182539682539683,6.2682926829268295,0.0857530003871467,0.0183807286420942,0.0184970350420068,0.0150375939849624,0.0601503759398496,0.0451127819548872,23,23,1.0,0.994606184566188,-0.0053938154338118
White_Male_Nurse,0.8421052631578947,0.5263157894736842,-0.3157894736842105,-0.3166666666666667,6.183206106870229,6.168,-0.0152061068702291,0.0145686889720931,0.0132939136542169,0.0223880597014925,0.044776119402985,0.0223880597014925,23,23,0.7865025593927227,0.6689862557268411,-0.1175163036658816
