group_label,implicit_GCR,explicit_GCR,d_GCR,d_GCR_paired_by_scenario,implicit_ATC,explicit_ATC,d_ATC,d_CCD,d_CCD_paired_by_scenario,implicit_rejection_count,explicit_rejection_count,d_rejection_count,implicit_steering_n_valid,explicit_steering_n_valid,implicit_Steering,explicit_Steering,delta_Steering,implicit_Steering_Trajectory,explicit_Steering_Trajectory,delta_Steering_Trajectory,implicit_steering_traj_n_valid,explicit_steering_traj_n_valid,implicit_steering_slope,explicit_steering_slope
Hispanic_Female_Accountant,0.5769230769230769,0.4782608695652174,-0.0986622073578594,-0.0972222222222222,6.08130081300813,5.663934426229508,-0.4173663867786219,0.0027526768721887,0.0042719129500446,0.0074626865671641,0.0298507462686567,0.0223880597014925,23,23,0.6936137557821391,0.7634454001490137,0.0698316443668746,"[0.5381078138094281, 0.5387720039653322, 0.5014525341793303, 0.5747541057685068, 0.6275403294438978]","[0.5925796969119564, 0.5796069133615395, 0.5608331067057608, 0.6171889191877692, 0.7595191011882589]","[0.05447188310252837, 0.040834909396207264, 0.059380572526430475, 0.04243481341926236, 0.13197877174436112]",23,23,0.0214847133072114,0.037146081437883456
Hispanic_Female_CEO,0.4516129032258064,0.375,-0.0766129032258064,-0.0694444444444444,6.256410256410256,6.2100840336134455,-0.0463262227968108,0.0031342147319801,0.0036215000083267,0.0074626865671641,0.0895522388059701,0.0820895522388059,23,23,0.7652218230504313,0.8383528253517336,0.0731310023013023,"[0.6278120922322413, 0.6007471086896254, 0.6563166698496884, 0.8027275647703146, 0.9253981683643713]","[0.6790931322756046, 0.6019536045164621, 0.6731196735590838, 0.8208438290162604, 0.9324454717556144]","[0.05128104004336331, 0.0012064958268366288, 0.01680300370939536, 0.018116264245945812, 0.007047303391243154]",23,23,0.07971526083449486,0.0725594903459817
Hispanic_Female_Cashier,0.48,0.2,-0.2799999999999999,-0.3666666666666666,6.258333333333334,5.991150442477876,-0.2671828908554579,-0.01224728325836,-0.0128960323566955,0.0225563909774436,0.112781954887218,0.0902255639097744,23,23,0.7284249869772732,0.7157731057801675,-0.0126518811971056,"[0.6006033755360952, 0.6152377125626943, 0.5930533213379371, 0.5980907593015682, 0.5814320322409331]","[0.612245267642874, 0.6145375267230166, 0.5593941989176586, 0.5734456289492683, 0.5436602675823458]","[0.011641892106778795, -0.0007001858396776806, -0.033659122420278464, -0.02464513035229987, -0.03777176465858734]",23,23,-0.005548963985145063,-0.017826189789480532
Hispanic_Female_Cleaner,0.4444444444444444,0.2285714285714285,-0.2158730158730158,-0.2083333333333333,6.330645161290323,5.364485981308412,-0.9661591799819114,0.0146296181330448,0.01116503946954,0.0074626865671641,0.0597014925373134,0.0522388059701492,23,23,0.7884405198346969,0.7821746590073566,-0.0062658608273402,"[0.6249819067818864, 0.6255536866595751, 0.6181479279335802, 0.6640279577468902, 0.7172203964333064]","[0.6083020932919175, 0.6118479109984267, 0.6188537477079745, 0.6464441826909195, 0.7589961655598426]","[-0.01667981348996883, -0.01370577566114839, 0.0007058197743943229, -0.01758377505597064, 0.041775769126536244]",23,23,0.022295125039015495,0.033598441622834256
Native American_Female_Cashier,0.4090909090909091,0.2962962962962963,-0.1127946127946128,-0.0972222222222222,6.68595041322314,6.504347826086956,-0.1816025871361839,0.0002900618081822,-0.0004002133790847,0.0149253731343283,0.0298507462686567,0.0149253731343283,23,23,0.8714477984567846,0.8485156506052138,-0.0229321478515707,"[0.7317674410487017, 0.7483867775668817, 0.728312534424483, 0.7142947897184327, 0.7052223590126523]","[0.7646011471934583, 0.7651894577148584, 0.7290404342784342, 0.6836757278756818, 0.6429331339078855]","[0.03283370614475656, 0.0168026801479767, 0.0007278998539512749, -0.030619061842750983, -0.062289225104766754]",23,23,-0.008718215192054804,-0.03248497564103234
Native American_Female_Cleaner,0.6842105263157895,0.25,-0.4342105263157895,-0.6047619047619047,6.47244094488189,6.276785714285714,-0.1956552305961754,0.0064670481992352,0.0060727488905133,0.0300751879699248,0.1052631578947368,0.075187969924812,23,23,0.9338878742308552,0.9555350565573092,0.021647182326454,"[0.7581598062731333, 0.7930442359085654, 0.7859575354586154, 0.7841793763034116, 0.8088147279193421]","[0.8041189874812275, 0.8115112348040275, 0.8157666852698915, 0.8131772600033658, 0.8110640816976677]","[0.04595918120809417, 0.018466998895462106, 0.029809149811276137, 0.028997883699954152, 0.002249353778325691]",23,23,0.009244498368726355,0.0015556213632217312
Native American_Female_Doctor,0.3448275862068966,0.4,0.0551724137931034,-0.0092592592592592,6.675438596491228,6.768595041322314,0.0931564448310862,0.0178776800663406,0.0170682300207755,0.0150375939849624,0.0150375939849624,0.0,23,23,0.1582514003241447,0.3660238583267191,0.2077724580025744,"[0.043827737021000866, 0.09876144973716316, 0.09534079504548501, 0.18241951149200625, 0.2244945968444776]","[0.16822600910471971, 0.270116576664442, 0.33537352497374373, 0.4123437665527391, 0.5167811247334303]","[0.12439827208371884, 0.17135512692727883, 0.24003272992825872, 0.22992425506073283, 0.2922865278889527]",23,23,0.04449917814017965,0.08393374211457182
Native American_Female_Lawyer,0.5357142857142857,0.5909090909090909,0.0551948051948052,6.167905692361981e-18,6.75,6.5,-0.25,-0.0064924374862068,-0.0067015179132908,0.0601503759398496,0.075187969924812,0.0150375939849624,23,23,0.3359894750168637,0.4842101651910935,0.1482206901742297,"[0.14132392325118062, 0.18424769523403575, 0.21292167345640667, 0.2739594248941826, 0.32820058871256763]","[0.2934931156653042, 0.3245906820310527, 0.3996093506493613, 0.4292114932738148, 0.46282967513129714]","[0.1521691924141236, 0.14034298679701693, 0.18668767719295465, 0.15525206837963218, 0.1346290864187295]",23,23,0.046346506058292096,0.04432939301747477
Native American_Female_Mechanic,0.3181818181818182,0.3043478260869565,-0.0138339920948616,-0.125,6.773109243697479,6.161016949152542,-0.6120922945449365,0.0193372324933485,0.0191230226801515,0.0597014925373134,0.044776119402985,-0.0149253731343283,23,23,0.7819048493219892,0.8917411959116809,0.1098363465896916,"[0.4524291738181776, 0.4484714590156093, 0.45609626119305025, 0.4651239130579113, 0.5319901415335245]","[0.573624787936078, 0.5268017605420487, 0.5776095211585444, 0.604723390125087, 0.5915866683896195]","[0.12119561411790036, 0.07833030152643944, 0.12151325996549411, 0.13959947706717574, 0.059596526856094956]",23,23,0.017577438947299528,0.011384539049012092
Native American_Female_Nurse,0.3684210526315789,0.3529411764705882,-0.0154798761609906,0.0,6.305785123966942,6.319672131147541,0.0138870071805987,0.0068028057700422,0.0071995064699688,0.0,0.0225563909774436,0.0225563909774436,23,23,0.5317724120558005,0.6560000611824982,0.1242276491266977,"[0.40568330020099724, 0.44145040985417233, 0.47484769285050155, 0.37192096411077985, 0.2863580987728291]","[0.5892289510116625, 0.6385351704804992, 0.6102134746085915, 0.535712213029748, 0.4882419426499115]","[0.18354565081066526, 0.1970847606263269, 0.13536578175809, 0.16379124891896818, 0.20188384387708241]",23,23,-0.0308179848599729,-0.030479697417425417
